DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,ISIN
2023-01-02,ADANIENT,3870.0,3874.0,3822.55,3841.2,923051.0,INE423A01024
2023-01-02,ADANIPORTS,823.0,826.75,816.3,822.3,2042294.0,INE742F01042
2023-01-02,APOLLOHOSP,4488.0,4516.7,4446.0,4454.35,246577.0,INE437A01024
2023-01-02,ASIANPAINT,3087.9,3087.9,3021.0,3047.25,1015990.0,INE021A01026
2023-01-02,AXISBANK,932.25,945.0,931.8,941.6,3498198.0,INE238A01034
2023-01-02,BAJAJ-AUTO,3617.0,3620.0,3520.45,3573.95,471328.0,INE917I01010
2023-01-02,BAJAJFINSV,1550.0,1560.0,1528.55,1552.5,1061404.0,INE918I01026
2023-01-02,BAJFINANCE,6565.0,6610.0,6484.75,6553.75,579340.0,INE296A01024
2023-01-02,BHARTIARTL,806.25,816.2,805.6,813.5,1626846.0,INE397D01024
2023-01-02,BPCL,330.05,334.7,327.55,333.85,2202793.0,INE029A01011
2023-01-02,BRITANNIA,4379.95,4379.95,4275.1,4292.15,255314.0,INE216A01030
2023-01-02,CIPLA,1080.25,1082.0,1063.85,1070.95,895053.0,INE059A01026
2023-01-02,COALINDIA,226.75,227.2,224.15,224.75,4210225.0,INE522F01014
2023-01-02,DIVISLAB,3420.0,3420.0,3365.0,3372.65,283161.0,INE361B01024
2023-01-02,DRREDDY,4258.75,4267.55,4209.0,4235.05,132726.0,INE089A01023
2023-01-02,EICHERMOT,3227.0,3249.95,3203.3,3228.85,381581.0,INE066A01021
2023-01-02,GRASIM,1725.4,1748.0,1720.0,1731.3,310889.0,INE047A01021
2023-01-02,HCLTECH,1039.1,1042.5,1031.5,1039.45,701880.0,INE860A01027
2023-01-02,HDFC,2626.1,2659.15,2626.1,2652.4,1106318.0,INE001A01036
2023-01-02,HDFCBANK,1627.0,1639.75,1618.55,1628.7,2190689.0,INE040A01034
2023-01-02,HDFCLIFE,565.0,571.4,561.25,570.3,841928.0,INE795G01014
2023-01-02,HEROMOTOCO,2738.85,2749.6,2710.0,2715.9,131296.0,INE158A01026
2023-01-02,HINDALCO,475.95,491.0,475.15,487.05,11255811.0,INE038A01020
2023-01-02,HINDUNILVR,2573.9,2580.05,2538.05,2558.4,681703.0,INE030A01027
2023-01-02,ICICIBANK,894.0,907.0,894.0,902.45,4315403.0,INE090A01021
2023-01-02,INDUSINDBK,1220.1,1231.1,1211.75,1226.35,2587946.0,INE095A01012
2023-01-02,INFY,1514.0,1526.5,1504.05,1524.0,3801140.0,INE009A01021
2023-01-02,ITC,330.9,334.0,329.65,332.85,5951893.0,INE154A01025
