DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,ISIN
2018-07-02,ADANIPORTS,371.0,373.9,359.15,362.8,1732427,INE742F01042
2018-07-02,ASIANPAINT,1266.5,1297.95,1261.0,1293.05,1437438,INE021A01026
2018-07-02,AXISBANK,510.75,513.8,503.0,512.25,6799910,INE238A01034
2018-07-02,BAJAJ-AUTO,2815.0,2912.0,2815.0,2835.15,1007694,INE917I01010
2018-07-02,BAJAJFINSV,5860.0,5880.0,5750.45,5778.3,113658,INE918I01018
2018-07-02,BAJFINANCE,2300.0,2314.7,2281.1,2299.55,840376,INE296A01024
2018-07-02,BHARTIARTL,381.1,381.4,365.55,368.05,4391116,INE397D01024
2018-07-02,BPCL,375.0,378.0,367.25,369.2,4534866,INE029A01011
2018-07-02,CIPLA,620.0,620.0,611.0,617.0,1502606,INE059A01026
2018-07-02,COALINDIA,263.15,264.0,258.6,260.55,4878924,INE522F01014
2018-07-02,DRREDDY,2230.0,2260.55,2202.25,2240.35,774325,INE089A01023
2018-07-02,EICHERMOT,28655.0,28781.0,27865.15,28187.65,41965,INE066A01013
2018-07-02,GAIL,340.35,343.25,332.65,341.1,5990095,INE129A01019
2018-07-02,GRASIM,1004.0,1008.0,982.05,987.3,495288,INE047A01021
2018-07-02,HCLTECH,927.0,932.45,920.85,926.1,888198,INE860A01027
2018-07-02,HDFC,1912.9,1915.35,1879.3,1897.1,2283964,INE001A01036
2018-07-02,HDFCBANK,2108.35,2108.4,2063.25,2073.25,2466219,INE040A01026
2018-07-02,HEROMOTOCO,3480.0,3527.65,3402.3,3415.4,236235,INE158A01026
2018-07-02,HINDALCO,231.0,231.1,218.85,223.25,9159214,INE038A01020
2018-07-02,HINDPETRO,260.4,265.3,258.1,259.7,4531903,INE094A01015
2018-07-02,HINDUNILVR,1640.9,1647.75,1625.05,1643.45,1099574,INE030A01027
2018-07-02,IBULHSGFIN,1148.0,1148.0,1109.0,1114.55,866474,INE148I01020
2018-07-02,ICICIBANK,274.0,279.9,271.0,277.4,69733139,INE090A01021
2018-07-02,INDUSINDBK,1938.0,1957.05,1928.5,1948.8,708738,INE095A01012
2018-07-02,INFRATEL,301.0,304.8,294.8,298.9,2444336,INE121J01017
2018-07-02,INFY,1314.0,1340.0,1314.0,1334.7,2415072,INE009A01021
2018-07-02,IOC,156.2,157.75,152.2,153.7,8556183,INE242A01010
2018-07-02,ITC,267.0,267.1,260.05,263.05,18097981,INE154A01025
2018-07-02,KOTAKBANK,1348.85,1354.4,1332.0,1337.95,1301687,INE237A01028
2018-07-02,LT,1277.9,1277.95,1242.9,1255.95,3832519,INE018A01030
2018-07-02,LUPIN,904.5,906.0,884.0,889.45,1483033,INE326A01037
2018-07-02,M&M,907.0,907.7,878.65,886.65,2180118,INE101A01026
2018-07-02,MARUTI,8878.0,8935.0,8800.05,8821.05,298529,INE585B01010
2018-07-02,NTPC,159.0,159.15,151.4,153.55,13295335,INE733E01010
2018-07-02,ONGC,157.85,158.0,153.5,155.5,9196529,INE213A01029
2018-07-02,POWERGRID,187.0,187.35,183.5,185.05,7368833,INE752E01010
2018-07-02,RELIANCE,972.35,972.35,957.0,960.6,6660916,INE002A01018
2018-07-02,SBIN,258.95,261.75,254.0,258.85,21896701,INE062A01020
2018-07-02,SUNPHARMA,566.3,572.85,558.5,563.15,4132132,INE044A01036
2018-07-02,TATAMOTORS,276.0,276.05,265.6,266.7,16495647,INE155A01022
2018-07-02,TATASTEEL,575.95,586.5,556.25,560.5,15763048,INE081A01012
2018-07-02,TCS,1852.0,1857.8,1841.1,1851.35,2650290,INE467B01029
2018-07-02,TECHM,657.95,669.5,640.0,657.2,4422723,INE669C01036
2018-07-02,TITAN,883.1,906.9,870.15,897.4,3353006,INE280A01028
2018-07-02,ULTRACEMCO,3798.0,3826.8,3734.1,3777.3,224587,INE481G01011
2018-07-02,UPL,617.1,628.4,614.2,624.7,1122923,INE628A01036
2018-07-02,VEDL,234.75,243.8,228.3,239.85,17820231,INE205A01025
2018-07-02,WIPRO,260.7,262.25,258.1,260.6,3770856,INE075A01022
2018-07-02,YESBANK,338.05,341.7,332.35,337.05,8091469,INE528G01027
2018-07-02,ZEEL,544.05,551.75,532.45,539.65,1147657,INE256A01028
2018-07-03,ADANIPORTS,362.5,365.45,360.25,362.75,1488048,INE742F01042
2018-07-03,ASIANPAINT,1298.6,1308.6,1288.1,1291.85,1399979,INE021A01026
2018-07-03,AXISBANK,512.9,519.9,509.25,511.55,6658467,INE238A01034
2018-07-03,BAJAJ-AUTO,2842.95,2882.0,2835.0,2862.4,510764,INE917I01010
2018-07-03,BAJAJFINSV,5777.8,5899.0,5759.8,5885.2,162273,INE918I01018
2018-07-03,BAJFINANCE,2305.0,2334.0,2285.75,2321.1,810667,INE296A01024
2018-07-03,BHARTIARTL,374.6,374.6,366.1,370.75,2787262,INE397D01024
2018-07-03,BPCL,367.75,376.75,364.1,373.9,3996833,INE029A01011
2018-07-03,CIPLA,617.0,644.65,608.05,640.4,5271600,INE059A01026
2018-07-03,COALINDIA,262.5,262.7,259.3,260.85,2691217,INE522F01014
2018-07-03,DRREDDY,2258.0,2284.0,2235.2,2273.75,756573,INE089A01023
2018-07-03,EICHERMOT,28375.0,28375.0,28005.0,28079.0,50476,INE066A01013
2018-07-03,GAIL,338.0,347.45,336.0,345.3,3736925,INE129A01019
2018-07-03,GRASIM,981.0,992.75,964.05,985.85,534138,INE047A01021
2018-07-03,HCLTECH,930.0,939.9,917.15,937.5,1027238,INE860A01027
2018-07-03,HDFC,1900.0,1900.0,1874.65,1879.7,1687705,INE001A01036
2018-07-03,HDFCBANK,2073.25,2085.0,2065.6,2070.2,1715775,INE040A01026
2018-07-03,HEROMOTOCO,3455.0,3484.95,3432.55,3447.65,289618,INE158A01026
2018-07-03,HINDALCO,223.5,227.45,220.7,226.1,8001296,INE038A01020
2018-07-03,HINDPETRO,261.0,263.0,257.5,258.85,4321401,INE094A01015
2018-07-03,HINDUNILVR,1645.0,1661.1,1635.0,1643.5,1381265,INE030A01027
2018-07-03,IBULHSGFIN,1114.0,1129.9,1107.05,1125.5,1028758,INE148I01020
2018-07-03,ICICIBANK,275.9,276.8,272.2,272.9,14020388,INE090A01021
2018-07-03,INDUSINDBK,1944.0,1955.8,1935.0,1951.0,926035,INE095A01012
2018-07-03,INFRATEL,296.0,297.8,286.6,291.5,2404666,INE121J01017
2018-07-03,INFY,1331.9,1357.9,1331.75,1353.75,4063726,INE009A01021
2018-07-03,IOC,153.7,155.8,153.0,155.3,8148192,INE242A01010
2018-07-03,ITC,263.5,266.75,261.15,265.45,10385004,INE154A01025
2018-07-03,KOTAKBANK,1337.0,1357.0,1327.6,1353.15,1487237,INE237A01028
2018-07-03,LT,1259.25,1264.0,1246.05,1251.5,2096700,INE018A01030
2018-07-03,LUPIN,890.0,907.0,881.0,903.1,2304392,INE326A01037
2018-07-03,M&M,886.9,898.5,879.05,894.2,1406654,INE101A01026
2018-07-03,MARUTI,8825.0,8995.0,8750.0,8975.15,375718,INE585B01010
2018-07-03,NTPC,154.0,155.45,151.6,155.0,6255606,INE733E01010
2018-07-03,ONGC,155.05,161.6,154.7,157.7,12087830,INE213A01029
2018-07-03,POWERGRID,184.05,185.45,181.2,184.55,5619804,INE752E01010
2018-07-03,RELIANCE,965.0,978.45,960.35,971.3,5067261,INE002A01018
2018-07-03,SBIN,259.6,260.9,256.4,257.5,16099030,INE062A01020
2018-07-03,SUNPHARMA,564.8,576.8,560.7,573.6,5950013,INE044A01036
2018-07-03,TATAMOTORS,269.5,271.5,267.2,269.45,11484332,INE155A01022
2018-07-03,TATASTEEL,561.95,572.4,553.45,566.0,11236177,INE081A01012
2018-07-03,TCS,1859.95,1879.9,1857.05,1874.05,3242233,INE467B01029
2018-07-03,TECHM,659.95,666.2,654.3,660.85,3506534,INE669C01036
2018-07-03,TITAN,890.2,902.8,883.8,893.2,2770123,INE280A01028
2018-07-03,ULTRACEMCO,3785.0,3785.0,3730.35,3749.85,244401,INE481G01011
2018-07-03,UPL,622.3,632.0,615.0,630.25,873384,INE628A01036
2018-07-03,VEDL,236.2,236.2,230.05,231.05,15851682,INE205A01025
2018-07-03,WIPRO,261.45,262.8,258.55,261.9,3934114,INE075A01022
2018-07-03,YESBANK,337.7,340.5,335.3,336.9,4998778,INE528G01027
2018-07-03,ZEEL,539.55,546.15,532.15,544.8,1223253,INE256A01028
2018-07-04,ADANIPORTS,362.95,363.5,355.95,359.95,1616705,INE742F01042
2018-07-04,ASIANPAINT,1296.0,1299.95,1282.75,1289.8,619316,INE021A01026
2018-07-04,AXISBANK,511.95,516.25,507.65,514.75,3893493,INE238A01034
2018-07-04,BAJAJ-AUTO,2869.95,2989.0,2855.8,2979.05,845034,INE917I01010
2018-07-04,BAJAJFINSV,5897.0,6049.0,5877.9,6032.85,192202,INE918I01018
2018-07-04,BAJFINANCE,2333.0,2345.0,2306.55,2331.4,916379,INE296A01024
2018-07-04,BHARTIARTL,370.85,371.9,362.7,367.4,3925362,INE397D01024
2018-07-04,BPCL,373.0,375.45,364.65,367.85,3360223,INE029A01011
2018-07-04,CIPLA,644.95,648.0,623.8,628.9,5043141,INE059A01026
2018-07-04,COALINDIA,261.05,266.95,259.6,264.35,3032831,INE522F01014
2018-07-04,DRREDDY,2273.8,2338.0,2273.8,2317.25,1065535,INE089A01023
2018-07-04,EICHERMOT,28199.0,28390.0,28085.0,28238.0,37877,INE066A01013
2018-07-04,GAIL,343.0,349.9,341.3,348.35,4317908,INE129A01019
2018-07-04,GRASIM,985.0,985.5,961.35,965.45,905422,INE047A01021
2018-07-04,HCLTECH,936.95,938.5,924.0,925.65,773947,INE860A01027
2018-07-04,HDFC,1883.0,1926.7,1882.1,1922.5,2609336,INE001A01036
2018-07-04,HDFCBANK,2076.25,2108.05,2069.0,2103.55,1524498,INE040A01026
2018-07-04,HEROMOTOCO,3460.0,3479.05,3415.45,3458.8,266759,INE158A01026
2018-07-04,HINDALCO,225.8,225.8,220.1,224.1,5246876,INE038A01020
2018-07-04,HINDPETRO,259.8,259.8,250.6,252.3,6528287,INE094A01015
2018-07-04,HINDUNILVR,1642.0,1682.4,1639.65,1676.0,1244751,INE030A01027
2018-07-04,IBULHSGFIN,1128.0,1159.7,1126.0,1139.7,1035005,INE148I01020
2018-07-04,ICICIBANK,274.2,274.85,271.0,273.25,8233522,INE090A01021
2018-07-04,INDUSINDBK,1954.0,1985.75,1945.3,1976.3,1514361,INE095A01012
2018-07-04,INFRATEL,291.5,301.85,289.55,299.5,2171623,INE121J01017
2018-07-04,INFY,1352.05,1352.65,1338.85,1345.2,2512861,INE009A01021
2018-07-04,IOC,154.95,156.35,154.1,155.25,5945840,INE242A01010
2018-07-04,ITC,266.3,266.3,262.2,264.4,7881279,INE154A01025
2018-07-04,KOTAKBANK,1355.1,1369.9,1346.35,1365.25,1347778,INE237A01028
2018-07-04,LT,1251.9,1261.4,1243.2,1259.5,1842579,INE018A01030
2018-07-04,LUPIN,907.95,939.0,907.65,934.2,5674097,INE326A01037
2018-07-04,M&M,895.0,902.7,885.5,900.1,1457165,INE101A01026
2018-07-04,MARUTI,9014.0,9249.25,8952.5,9220.8,656141,INE585B01010
2018-07-04,NTPC,154.95,155.85,152.5,152.9,9515047,INE733E01010
2018-07-04,ONGC,157.8,158.0,155.05,156.0,5194030,INE213A01029
2018-07-04,POWERGRID,185.25,189.25,182.15,183.0,5977279,INE752E01010
2018-07-04,RELIANCE,971.8,992.0,971.0,990.1,5000724,INE002A01018
2018-07-04,SBIN,255.75,258.35,254.5,257.45,14206935,INE062A01020
2018-07-04,SUNPHARMA,576.0,588.85,573.05,579.3,9406196,INE044A01036
2018-07-04,TATAMOTORS,270.0,271.5,265.65,267.05,7394858,INE155A01022
2018-07-04,TATASTEEL,567.4,573.4,559.55,571.1,6862947,INE081A01012
2018-07-04,TCS,1879.9,1879.9,1857.15,1866.15,2700614,INE467B01029
2018-07-04,TECHM,665.35,665.4,652.0,654.5,2070241,INE669C01036
2018-07-04,TITAN,893.25,899.35,882.5,886.55,1104449,INE280A01028
2018-07-04,ULTRACEMCO,3758.0,3805.0,3735.0,3790.65,190572,INE481G01011
2018-07-04,UPL,630.15,634.0,620.55,624.2,716832,INE628A01036
2018-07-04,VEDL,229.45,229.45,225.2,228.05,11756061,INE205A01025
2018-07-04,WIPRO,262.05,262.55,258.1,261.95,3834319,INE075A01022
2018-07-04,YESBANK,337.0,337.5,332.5,335.55,4507001,INE528G01027
2018-07-04,ZEEL,544.0,546.2,537.55,542.2,592033,INE256A01028
2018-07-05,ADANIPORTS,361.35,363.4,355.6,361.9,1526982,INE742F01042
2018-07-05,ASIANPAINT,1294.8,1330.0,1278.3,1321.4,1733903,INE021A01026
2018-07-05,AXISBANK,514.0,517.85,509.0,511.0,2692462,INE238A01034
2018-07-05,BAJAJ-AUTO,2935.0,2985.0,2912.7,2966.95,752721,INE917I01010
2018-07-05,BAJAJFINSV,6045.0,6133.45,6045.0,6069.0,199187,INE918I01018
2018-07-05,BAJFINANCE,2339.0,2349.0,2322.4,2330.15,688785,INE296A01024
2018-07-05,BHARTIARTL,365.0,366.75,359.65,363.4,6402876,INE397D01024
2018-07-05,BPCL,371.7,375.5,369.1,371.55,4211975,INE029A01011
2018-07-05,CIPLA,632.0,637.0,623.1,626.55,2127794,INE059A01026
2018-07-05,COALINDIA,264.5,271.75,260.5,270.3,3044656,INE522F01014
2018-07-05,DRREDDY,2329.95,2348.7,2287.75,2298.65,830939,INE089A01023
2018-07-05,EICHERMOT,28338.0,28338.05,27849.25,27888.0,36620,INE066A01013
2018-07-05,GAIL,347.95,349.9,343.0,346.05,3499387,INE129A01019
2018-07-05,GRASIM,965.9,974.2,952.05,968.6,1556817,INE047A01021
2018-07-05,HCLTECH,928.1,935.5,921.0,931.05,1708070,INE860A01027
2018-07-05,HDFC,1923.7,1937.15,1908.25,1931.05,1945712,INE001A01036
2018-07-05,HDFCBANK,2105.0,2129.0,2092.55,2123.75,2433992,INE040A01026
2018-07-05,HEROMOTOCO,3480.9,3517.9,3458.85,3505.75,273797,INE158A01026
2018-07-05,HINDALCO,223.8,223.9,219.3,220.3,4773707,INE038A01020
2018-07-05,HINDPETRO,253.0,257.5,253.0,256.45,4409744,INE094A01015
2018-07-05,HINDUNILVR,1679.0,1692.35,1668.4,1688.0,1449303,INE030A01027
2018-07-05,IBULHSGFIN,1139.8,1148.15,1126.35,1131.7,568093,INE148I01020
2018-07-05,ICICIBANK,273.0,275.5,270.75,271.55,7505990,INE090A01021
2018-07-05,INDUSINDBK,1980.2,1991.0,1960.1,1964.45,490611,INE095A01012
2018-07-05,INFRATEL,296.7,305.1,294.3,303.45,1418401,INE121J01017
2018-07-05,INFY,1347.1,1347.25,1268.1,1284.0,8509951,INE009A01021
2018-07-05,IOC,153.65,157.3,153.65,155.0,8994632,INE242A01010
2018-07-05,ITC,264.6,273.8,263.5,272.5,15473199,INE154A01025
2018-07-05,KOTAKBANK,1373.0,1377.55,1363.5,1365.0,1814111,INE237A01028
2018-07-05,LT,1265.0,1265.0,1245.6,1254.45,2006459,INE018A01030
2018-07-05,LUPIN,940.0,946.2,920.0,922.65,3051351,INE326A01037
2018-07-05,M&M,901.6,916.0,901.6,912.35,1935437,INE101A01026
2018-07-05,MARUTI,9228.0,9395.0,9225.75,9347.05,887919,INE585B01010
2018-07-05,NTPC,152.85,153.5,151.7,152.15,3462760,INE733E01010
2018-07-05,ONGC,156.0,157.6,154.2,156.4,6807718,INE213A01029
2018-07-05,POWERGRID,183.15,183.75,180.55,181.65,4353397,INE752E01010
2018-07-05,RELIANCE,997.0,1008.4,958.6,964.5,18719353,INE002A01018
2018-07-05,SBIN,257.9,258.7,255.15,256.45,11215032,INE062A01020
2018-07-05,SUNPHARMA,581.0,581.0,564.9,566.95,3833300,INE044A01036
2018-07-05,TATAMOTORS,263.5,263.75,252.55,261.55,20820454,INE155A01022
2018-07-05,TATASTEEL,565.0,565.0,552.0,553.3,6013653,INE081A01012
2018-07-05,TCS,1873.0,1887.5,1862.1,1880.3,2472571,INE467B01029
2018-07-05,TECHM,662.0,663.05,645.0,646.65,2864186,INE669C01036
2018-07-05,TITAN,869.6,870.75,833.25,838.0,6128988,INE280A01028
2018-07-05,ULTRACEMCO,3797.0,3963.15,3793.35,3936.25,499755,INE481G01011
2018-07-05,UPL,627.7,632.35,621.1,623.05,577543,INE628A01036
2018-07-05,VEDL,227.0,227.0,219.0,221.3,12643742,INE205A01025
2018-07-05,WIPRO,262.5,264.8,260.15,264.1,4677308,INE075A01022
2018-07-05,YESBANK,338.75,350.8,338.6,348.65,21239763,INE528G01027
2018-07-05,ZEEL,543.0,553.6,536.65,551.8,1982070,INE256A01028
2018-07-06,ADANIPORTS,361.9,370.9,358.35,365.75,1549142,INE742F01042
2018-07-06,ASIANPAINT,1325.0,1335.4,1309.05,1323.15,1662920,INE021A01026
2018-07-06,AXISBANK,513.0,516.9,509.5,513.7,2706424,INE238A01034
2018-07-06,BAJAJ-AUTO,2983.0,3078.25,2950.0,3020.1,1511538,INE917I01010
2018-07-06,BAJAJFINSV,6080.0,6159.85,6000.0,6058.55,168049,INE918I01018
2018-07-06,BAJFINANCE,2338.8,2355.0,2324.0,2345.7,690617,INE296A01024
2018-07-06,BHARTIARTL,362.0,365.4,359.9,362.25,7218013,INE397D01024
2018-07-06,BPCL,375.0,381.4,372.55,374.55,6921258,INE029A01011
2018-07-06,CIPLA,624.9,631.0,610.4,612.5,2514518,INE059A01026
2018-07-06,COALINDIA,270.0,271.95,267.2,271.2,2709932,INE522F01014
2018-07-06,DRREDDY,2300.0,2319.9,2255.85,2269.05,556218,INE089A01023
2018-07-06,EICHERMOT,27896.05,28140.0,27475.35,27626.3,59924,INE066A01013
2018-07-06,GAIL,349.5,354.4,342.3,344.2,3512749,INE129A01019
2018-07-06,GRASIM,971.9,993.9,964.9,988.55,796997,INE047A01021
2018-07-06,HCLTECH,935.0,949.55,923.0,943.9,2527754,INE860A01027
2018-07-06,HDFC,1926.1,1938.4,1912.25,1916.85,2550768,INE001A01036
2018-07-06,HDFCBANK,2113.3,2135.55,2111.35,2115.15,2030336,INE040A01026
2018-07-06,HEROMOTOCO,3509.3,3670.0,3486.0,3637.1,1032128,INE158A01026
2018-07-06,HINDALCO,219.4,226.35,214.55,220.45,8822679,INE038A01020
