DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,ISIN
2018-01-01,ADANIPORTS,406.7,407.7,398.05,399.65,2701537,INE742F01042
2018-01-01,AMBUJACEM,271.1,273.1,264.35,268.05,1408955,INE079A01024
2018-01-01,ASIANPAINT,1163.0,1165.0,1138.1,1143.65,591349,INE021A01026
2018-01-01,AUROPHARMA,690.0,698.8,681.0,683.95,1629631,INE406A01037
2018-01-01,AXISBANK,563.8,569.8,560.5,565.5,6943234,INE238A01034
2018-01-01,BAJAJ-AUTO,3340.0,3345.05,3276.4,3289.25,174560,INE917I01010
2018-01-01,BAJFINANCE,1759.5,1760.0,1720.4,1725.65,535319,INE296A01024
2018-01-01,BHARTIARTL,531.0,538.1,525.4,527.9,4333190,INE397D01024
2018-01-01,BOSCHLTD,20165.0,20620.0,19702.4,19791.9,20401,INE323A01026
2018-01-01,BPCL,518.0,523.0,507.2,508.6,1940293,INE029A01011
2018-01-01,CIPLA,608.0,617.85,607.0,611.5,873546,INE059A01026
2018-01-01,COALINDIA,263.0,267.3,262.6,266.65,3079260,INE522F01014
2018-01-01,DRREDDY,2410.0,2436.0,2394.05,2404.15,242081,INE089A01023
2018-01-01,EICHERMOT,30399.95,30420.0,29850.0,29893.15,19847,INE066A01013
2018-01-01,GAIL,502.8,504.75,496.85,498.65,1639410,INE129A01019
2018-01-01,HCLTECH,889.0,890.7,875.95,878.7,643144,INE860A01027
2018-01-01,HDFC,1710.0,1711.05,1677.5,1683.75,1387222,INE001A01036
2018-01-01,HDFCBANK,1872.7,1880.75,1850.5,1854.5,1645129,INE040A01026
2018-01-01,HEROMOTOCO,3810.0,3810.0,3740.0,3749.1,201102,INE158A01026
2018-01-01,HINDALCO,273.0,277.9,270.0,271.15,4614411,INE038A01020
2018-01-01,HINDPETRO,419.0,421.2,412.4,413.75,2087052,INE094A01015
2018-01-01,HINDUNILVR,1367.0,1367.0,1340.05,1344.5,746852,INE030A01027
2018-01-01,IBULHSGFIN,1196.6,1243.9,1194.85,1218.15,1323659,INE148I01020
2018-01-01,ICICIBANK,314.0,314.0,309.1,310.3,7739502,INE090A01021
2018-01-01,INDUSINDBK,1652.0,1655.95,1618.1,1623.85,771099,INE095A01012
2018-01-01,INFRATEL,379.9,379.9,368.35,369.95,1788442,INE121J01017
2018-01-01,INFY,1037.7,1044.5,1030.0,1033.55,2715670,INE009A01021
2018-01-01,IOC,390.0,392.5,388.5,389.95,2218462,INE242A01010
2018-01-01,ITC,263.25,266.3,261.25,262.3,10461011,INE154A01025
2018-01-01,KOTAKBANK,1011.85,1012.2,996.8,999.95,1317415,INE237A01028
2018-01-01,LT,1261.0,1274.0,1255.9,1260.7,2048058,INE018A01030
2018-01-01,LUPIN,889.5,892.0,880.2,883.25,1032734,INE326A01037
2018-01-01,M&M,751.0,758.9,743.0,744.65,2476302,INE101A01026
2018-01-01,MARUTI,9749.0,9789.0,9629.8,9651.9,426354,INE585B01010
2018-01-01,NTPC,177.05,177.35,175.7,176.55,5574802,INE733E01010
2018-01-01,ONGC,195.2,195.7,192.0,192.35,5899565,INE213A01029
2018-01-01,POWERGRID,199.05,201.75,199.05,200.2,3593261,INE752E01010
2018-01-01,RELIANCE,922.7,922.7,907.5,909.75,4321686,INE002A01018
2018-01-01,SBIN,310.6,312.75,306.3,307.1,12182400,INE062A01020
2018-01-01,SUNPHARMA,571.5,585.4,571.25,574.05,5314142,INE044A01036
2018-01-01,TATAMOTORS,430.95,436.4,422.25,424.45,6807536,INE155A01022
2018-01-01,TATASTEEL,732.5,735.4,719.5,722.2,1833942,INE081A01012
2018-01-01,TCS,2682.3,2694.8,2635.0,2645.6,675880,INE467B01029
2018-01-01,TECHM,501.1,508.7,500.05,503.1,1115837,INE669C01036
2018-01-01,ULTRACEMCO,4302.2,4319.8,4243.05,4256.05,166780,INE481G01011
2018-01-01,UPL,761.8,770.0,752.5,755.75,1068067,INE628A01036
2018-01-01,VEDL,331.0,333.3,323.4,325.45,5729566,INE205A01025
2018-01-01,WIPRO,311.5,320.0,309.45,316.55,3350397,INE075A01022
2018-01-01,YESBANK,315.5,317.75,311.3,312.6,4019878,INE528G01027
2018-01-01,ZEEL,581.95,587.5,574.7,579.2,1102118,INE256A01028
2018-01-02,ADANIPORTS,403.45,403.45,395.0,397.4,1322980,INE742F01042
2018-01-02,AMBUJACEM,270.0,270.3,265.1,268.15,981714,INE079A01024
2018-01-02,ASIANPAINT,1146.0,1150.0,1134.05,1142.75,516171,INE021A01026
2018-01-02,AUROPHARMA,685.35,688.3,668.65,671.4,1856956,INE406A01037
2018-01-02,AXISBANK,567.0,568.6,556.35,559.5,6292268,INE238A01034
2018-01-02,BAJAJ-AUTO,3309.0,3348.0,3280.0,3294.75,297721,INE917I01010
2018-01-02,BAJFINANCE,1739.7,1739.7,1710.0,1724.65,576208,INE296A01024
2018-01-02,BHARTIARTL,532.9,532.9,511.85,516.55,4724570,INE397D01024
2018-01-02,BOSCHLTD,19850.0,19957.0,19575.0,19721.75,14797,INE323A01026
2018-01-02,BPCL,511.3,512.95,497.2,499.8,2536583,INE029A01011
2018-01-02,CIPLA,614.2,619.0,605.5,607.8,1038258,INE059A01026
2018-01-02,COALINDIA,268.0,270.9,267.0,270.05,5659389,INE522F01014
2018-01-02,DRREDDY,2427.0,2439.0,2395.6,2409.2,251537,INE089A01023
2018-01-02,EICHERMOT,29925.0,29955.0,28539.7,28670.15,84793,INE066A01013
2018-01-02,GAIL,504.0,504.0,493.3,494.35,1424727,INE129A01019
2018-01-02,HCLTECH,876.9,895.0,876.85,892.8,953259,INE860A01027
2018-01-02,HDFC,1690.0,1706.25,1685.4,1703.25,1468475,INE001A01036
2018-01-02,HDFCBANK,1858.55,1875.0,1858.55,1872.35,1194079,INE040A01026
2018-01-02,HEROMOTOCO,3781.0,3784.35,3719.25,3743.85,258156,INE158A01026
2018-01-02,HINDALCO,274.4,274.4,268.1,271.9,4546324,INE038A01020
2018-01-02,HINDPETRO,415.0,415.2,401.0,406.4,3614108,INE094A01015
2018-01-02,HINDUNILVR,1345.0,1349.8,1328.55,1338.6,695988,INE030A01027
2018-01-02,IBULHSGFIN,1211.0,1216.5,1179.9,1183.55,1349437,INE148I01020
2018-01-02,ICICIBANK,310.95,311.7,307.5,309.7,7046560,INE090A01021
2018-01-02,INDUSINDBK,1626.3,1647.0,1626.1,1643.95,1392045,INE095A01012
2018-01-02,INFRATEL,371.0,380.0,370.1,378.8,4093118,INE121J01017
2018-01-02,INFY,1037.25,1042.0,1023.0,1029.7,3056124,INE009A01021
2018-01-02,IOC,391.4,392.8,383.7,386.4,2521578,INE242A01010
2018-01-02,ITC,262.6,264.2,260.45,260.75,5688384,INE154A01025
