DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,ISIN
2020-07-01,ADANIPORTS,345.9,347.05,341.3,343.8,1202080,INE742F01042
2020-07-01,ASIANPAINT,1698.0,1698.0,1680.05,1688.0,1661301,INE021A01026
2020-07-01,AXISBANK,410.0,437.35,406.65,433.25,53380997,INE238A01034
2020-07-01,BAJAJ-AUTO,2838.05,2872.0,2828.6,2842.05,525801,INE917I01010
2020-07-01,BAJAJFINSV,5818.0,6194.8,5802.65,6169.35,1724244,INE918I01018
2020-07-01,BAJFINANCE,2831.0,2968.7,2806.0,2953.9,12705275,INE296A01024
2020-07-01,BHARTIARTL,575.0,575.0,558.3,560.15,13639649,INE397D01024
2020-07-01,BPCL,377.0,383.4,374.1,380.15,5182894,INE029A01011
2020-07-01,BRITANNIA,3605.0,3611.0,3536.0,3545.95,586225,INE216A01030
2020-07-01,CIPLA,642.6,642.6,621.05,627.1,4809654,INE059A01026
2020-07-01,COALINDIA,132.85,134.65,131.4,133.85,8413691,INE522F01014
2020-07-01,DRREDDY,3965.2,3966.0,3885.85,3911.45,623565,INE089A01023
2020-07-01,EICHERMOT,18540.0,18649.55,18301.0,18401.95,233486,INE066A01013
2020-07-01,GAIL,102.15,103.35,100.25,102.95,9947216,INE129A01019
2020-07-01,GRASIM,619.8,625.95,612.15,614.35,1397405,INE047A01021
2020-07-01,HCLTECH,557.95,559.6,551.0,551.75,3004728,INE860A01027
2020-07-01,HDFC,1764.0,1844.8,1760.4,1835.15,6991685,INE001A01036
2020-07-01,HDFCBANK,1065.85,1096.0,1061.3,1084.6,17423378,INE040A01034
2020-07-01,HEROMOTOCO,2556.0,2575.05,2530.0,2547.45,1336769,INE158A01026
2020-07-01,HINDALCO,147.5,148.85,144.5,147.55,8255408,INE038A01020
2020-07-01,HINDUNILVR,2183.0,2191.8,2160.1,2170.4,1532935,INE030A01027
2020-07-01,ICICIBANK,354.25,365.75,351.6,364.05,36922717,INE090A01021
2020-07-01,INDUSINDBK,480.5,494.6,475.15,492.45,20509479,INE095A01012
2020-07-01,INFRATEL,223.0,223.0,216.5,218.65,5347618,INE121J01017
2020-07-01,INFY,737.25,742.3,729.75,731.9,5477687,INE009A01021
2020-07-01,IOC,85.65,86.15,84.3,85.65,14331346,INE242A01010
2020-07-01,ITC,194.65,203.85,194.65,202.9,44298379,INE154A01025
2020-07-01,JSWSTEEL,190.3,193.05,188.55,191.45,8343254,INE019A01038
2020-07-01,KOTAKBANK,1319.0,1364.8,1316.0,1356.75,8939592,INE237A01028
2020-07-01,LT,941.0,941.0,917.0,924.3,6426447,INE018A01030
2020-07-01,M&M,513.75,521.4,494.25,498.95,8990865,INE101A01026
2020-07-01,MARUTI,5838.3,5885.0,5775.0,5803.1,1284965,INE585B01010
2020-07-01,NESTLEIND,17205.0,17205.0,16720.0,16798.85,216945,INE239A01016
2020-07-01,NTPC,94.7,94.7,92.3,93.6,21639174,INE733E01010
2020-07-01,ONGC,79.0,80.95,78.3,80.45,35344809,INE213A01029
2020-07-01,POWERGRID,175.0,175.4,171.9,173.45,8555691,INE752E01010
2020-07-01,RELIANCE,1720.0,1749.0,1708.05,1737.6,13136706,INE002A01018
2020-07-01,SBIN,179.45,185.4,178.6,184.8,54015536,INE062A01020
2020-07-01,SHREECEM,22814.35,23215.0,22516.8,22663.5,71638,INE070A01015
