DATE,SYMBOL,OPEN,HIGH,LOW,CLOSE,VOLUME,ISIN
2022-07-01,ADANIPORTS,670.0,680.0,656.0,677.9,3151179.0,INE742F01042
2022-07-01,APOLLOHOSP,3680.0,3745.0,3635.2,3736.15,316894.0,INE437A01024
2022-07-01,ASIANPAINT,2704.9,2780.0,2685.0,2773.15,1477191.0,INE021A01026
2022-07-01,AXISBANK,633.0,646.6,631.8,643.95,6549359.0,INE238A01034
2022-07-01,BAJAJ-AUTO,3667.95,3678.7,3601.1,3624.6,756589.0,INE917I01010
2022-07-01,BAJAJFINSV,10920.0,11343.0,10727.2,11322.55,408983.0,INE918I01018
2022-07-01,BAJFINANCE,5364.0,5633.95,5335.05,5614.4,1221890.0,INE296A01024
2022-07-01,BHARTIARTL,684.85,685.8,666.0,673.45,4488771.0,INE397D01024
2022-07-01,BPCL,308.5,319.25,305.7,318.35,4416695.0,INE029A01011
2022-07-01,BRITANNIA,3412.0,3600.0,3412.0,3584.35,292487.0,INE216A01030
2022-07-01,CIPLA,911.2,956.05,911.2,949.3,1793834.0,INE059A01026
2022-07-01,COALINDIA,185.0,186.15,176.6,183.25,17248729.0,INE522F01014
2022-07-01,DIVISLAB,3590.35,3649.6,3581.05,3637.55,304397.0,INE361B01024
2022-07-01,DRREDDY,4385.0,4395.0,4290.05,4385.9,304799.0,INE089A01023
2022-07-01,EICHERMOT,2775.0,2809.8,2750.4,2782.8,367512.0,INE066A01021
2022-07-01,GRASIM,1320.0,1350.0,1305.3,1347.25,516506.0,INE047A01021
2022-07-01,HCLTECH,964.5,981.45,964.2,975.35,2827579.0,INE860A01027
2022-07-01,HDFC,2155.0,2224.05,2133.1,2210.55,2776869.0,INE001A01036
2022-07-01,HDFCBANK,1343.95,1360.0,1330.05,1353.75,5736226.0,INE040A01034
2022-07-01,HDFCLIFE,549.95,567.3,540.55,565.45,2052291.0,INE795G01014
2022-07-01,HEROMOTOCO,2715.0,2770.0,2683.35,2763.8,393346.0,INE158A01026
2022-07-01,HINDALCO,335.0,342.9,330.25,341.15,11278576.0,INE038A01020
2022-07-01,HINDUNILVR,2226.0,2293.0,2203.6,2282.35,1235612.0,INE030A01027
2022-07-01,ICICIBANK,703.45,706.75,694.1,703.9,9884899.0,INE090A01021
2022-07-01,INDUSINDBK,793.0,810.0,783.0,807.2,2796110.0,INE095A01012
